category,orig_name,name,longitude,latitude,alley_capacity,jeep_count,average_time_arrival_mins,total_passenger,time_slot,orig_name.1
Mall,UNITOP CARMEN,Unitop Carmen,459829.9134,937786.2962,5,26,3,25,12:00:00 pm to 3:00:00 pm,UNITOP CARMEN
Mall,UNITOP CARMEN,Unitop Carmen,459829.9134,937786.2962,5,47,3,29,3:00:00 pm to 5:00:00 pm,UNITOP CARMEN
Mall,UNITOP CARMEN,Unitop Carmen,459829.9134,937786.2962,5,51,3,29,5:00:00 pm to 7:00:00 pm,UNITOP CARMEN
Mall,UNITOP COGON,Unitop Cogon,461430.3735,937471.0085,4,25,2,21,8:00:00 am to 10:00:00 am,UNITOP COGON
Mall,UNITOP COGON,Unitop Cogon,461430.3735,937471.0085,4,30,2,43,10:00:00 am to 12:00:00 pm,UNITOP COGON
Mall,UNITOP COGON,Unitop Cogon,461430.3735,937471.0085,4,32,2,42,12:00:00 pm to 3:00:00 pm,UNITOP COGON
Mall,UNITOP COGON,Unitop Cogon,461430.3735,937471.0085,4,36,2,63,3:00:00 pm to 5:00:00 pm,UNITOP COGON
Mall,UNITOP COGON,Unitop Cogon,461430.3735,937471.0085,4,31,2,63,5:00:00 pm to 7:00:00 pm,UNITOP COGON
Mall,CITYMALL BULUA,CityMall Bulua,458274.0989,941277.117,5,14,15,23,8:00:00 am to 10:00:00 am,CITYMALL BULUA
Mall,CITYMALL BULUA,CityMall Bulua,458274.0989,941277.117,5,18,15,27,10:00:00 am to 12:00:00 pm,CITYMALL BULUA
Mall,CITYMALL BULUA,CityMall Bulua,458274.0989,941277.117,5,21,15,32,12:00:00 pm to 3:00:00 pm,CITYMALL BULUA
Mall,CITYMALL BULUA,CityMall Bulua,458274.0989,941277.117,5,27,15,53,3:00:00 pm to 5:00:00 pm,CITYMALL BULUA
Mall,CITYMALL BULUA,CityMall Bulua,458274.0989,941277.117,5,27,15,53,5:00:00 pm to 7:00:00 pm,CITYMALL BULUA
Mall,CITYMALL IPONAN,CityMall Iponan,455999.4065,940338.8993,3,14,15,22,8:00:00 am to 10:00:00 am,CITYMALL IPONAN
Mall,CITYMALL IPONAN,CityMall Iponan,455999.4065,940338.8993,3,17,15,35,10:00:00 am to 12:00:00 pm,CITYMALL IPONAN
Mall,CITYMALL IPONAN,CityMall Iponan,455999.4065,940338.8993,3,21,15,37,12:00:00 pm to 3:00:00 pm,CITYMALL IPONAN
Mall,CITYMALL IPONAN,CityMall Iponan,455999.4065,940338.8993,3,24,15,56,3:00:00 pm to 5:00:00 pm,CITYMALL IPONAN
Mall,CITYMALL IPONAN,CityMall Iponan,455999.4065,940338.8993,3,24,15,56,5:00:00 pm to 7:00:00 pm,CITYMALL IPONAN
Mall,KAKING CARMEN,Kaking Carmen,459869.6059,937672.2851,4,22,4,18,8:00:00 am to 10:00:00 am,KAKING CARMEN
Mall,KAKING CARMEN,Kaking Carmen,459869.6059,937672.2851,4,28,4,14,10:00:00 am to 12:00:00 pm,KAKING CARMEN
Mall,KAKING CARMEN,Kaking Carmen,459869.6059,937672.2851,4,32,4,31,12:00:00 pm to 3:00:00 pm,KAKING CARMEN
Mall,KAKING CARMEN,Kaking Carmen,459869.6059,937672.2851,4,35,4,33,3:00:00 pm to 5:00:00 pm,KAKING CARMEN
Mall,KAKING CARMEN,Kaking Carmen,459869.6059,937672.2851,4,35,4,33,5:00:00 pm to 7:00:00 pm,KAKING CARMEN
Mall,KAKING COGON,Kaking Cogon,461549.7757,937338.5492,4,15,8,24,8:00:00 am to 10:00:00 am,KAKING COGON
Mall,KAKING COGON,Kaking Cogon,461549.7757,937338.5492,4,24,8,44,10:00:00 am to 12:00:00 pm,KAKING COGON
Mall,KAKING COGON,Kaking Cogon,461549.7757,937338.5492,4,27,8,42,12:00:00 pm to 3:00:00 pm,KAKING COGON
Mall,KAKING COGON,Kaking Cogon,461549.7757,937338.5492,4,30,8,59,3:00:00 pm to 5:00:00 pm,KAKING COGON
Mall,KAKING COGON,Kaking Cogon,461549.7757,937338.5492,4,30,8,59,5:00:00 pm to 7:00:00 pm,KAKING COGON
Mall,GAISANO PUERTO,Gaisano Puerto,472507.9787,939984.3853,3,12,16,31,8:00:00 am to 10:00:00 am,GAISANO PUERTO
Mall,GAISANO PUERTO,Gaisano Puerto,472507.9787,939984.3853,3,21,16,52,10:00:00 am to 12:00:00 pm,GAISANO PUERTO
Mall,GAISANO PUERTO,Gaisano Puerto,472507.9787,939984.3853,3,22,16,57,12:00:00 pm to 3:00:00 pm,GAISANO PUERTO
Mall,GAISANO PUERTO,Gaisano Puerto,472507.9787,939984.3853,3,24,16,72,3:00:00 pm to 5:00:00 pm,GAISANO PUERTO
Mall,GAISANO PUERTO,Gaisano Puerto,472507.9787,939984.3853,3,24,16,72,5:00:00 pm to 7:00:00 pm,GAISANO PUERTO
Mall,GAISANO MALL,Gaisano Mall,461422.7834,938449.2922,4,17,8,22,8:00:00 am to 10:00:00 am,GAISANO MALL
Mall,GAISANO MALL,Gaisano Mall,461422.7834,938449.2922,4,32,8,42,10:00:00 am to 12:00:00 pm,GAISANO MALL
Mall,GAISANO MALL,Gaisano Mall,461422.7834,938449.2922,4,31,8,57,12:00:00 pm to 3:00:00 pm,GAISANO MALL
Mall,GAISANO MALL,Gaisano Mall,461422.7834,938449.2922,4,26,8,71,3:00:00 pm to 5:00:00 pm,GAISANO MALL
Mall,GAISANO MALL,Gaisano Mall,461422.7834,938449.2922,4,31,8,71,5:00:00 pm to 7:00:00 pm,GAISANO MALL
Mall,GAISANO MALL UPTOWN,Gaisano Mall Uptown,457682.7616,932419.4041,5,11,20,22,8:00:00 am to 10:00:00 am,GAISANO MALL UPTOWN
Mall,GAISANO MALL UPTOWN,Gaisano Mall Uptown,457682.7616,932419.4041,5,15,20,32,10:00:00 am to 12:00:00 pm,GAISANO MALL UPTOWN
Mall,GAISANO MALL UPTOWN,Gaisano Mall Uptown,457682.7616,932419.4041,5,16,20,31,12:00:00 pm to 3:00:00 pm,GAISANO MALL UPTOWN
Mall,GAISANO MALL UPTOWN,Gaisano Mall Uptown,457682.7616,932419.4041,5,18,20,36,3:00:00 pm to 5:00:00 pm,GAISANO MALL UPTOWN
Mall,GAISANO MALL UPTOWN,Gaisano Mall Uptown,457682.7616,932419.4041,5,18,20,36,5:00:00 pm to 7:00:00 pm,GAISANO MALL UPTOWN
Mall,GAISANO CARMEN II,Gaisano Carmen II,459939.1328,937368.9744,3,18,1,37,8:00:00 am to 10:00:00 am,GAISANO CARMEN II
